@relation trees

@attribute 'Blätter - Blattanordnung' {wechselständig,gegenständig}
@attribute 'Blätter - Länge [cm]' numeric
@attribute 'Blätter - Blattaufteilung' {'geteilt (tiefe Einschnitte)','gebuchtet (mittelgroße Einbuchtungen)',ungeteilt}
@attribute 'Blätter - Blattform' {herzförmig,'rund oder eliptisch',dreieckig,fächerförmig,'andere Blattform'}
@attribute 'Blätter - Blattrand' {'relativ glattrandig',gewellt,gezackt,gelappt,gesägt}
@attribute 'Blätter - Blatttyp' {'gefiedert (von einem Blattstiel fingerförmig angeordnete Blätter)','mehrere Blätter am Stiel','ein Blatt pro Stiel'}
@attribute 'Früchte und Blüten - Blüten' {'grün, vor oder mit dem Laubaustrieb','weiß/gelb, klein, nach dem Laubaustrieb','reinweiß, cremefarben in Doldenrispen','weiß, in hängenden Trauben','weiß oder rot, kerzenförmig, nach dem Laubaustrieb','gelb, vor oder mit dem Laubaustrieb','hängende Trauben',Kätzchen,'andere Blüten','keine Blüten zu erkennen'}
@attribute 'Früchte und Blüten - Fruchtfarbe' {schwärzlich/blau,rot,grün/braun}
@attribute 'Früchte und Blüten - Fruchttyp' {Kastanie,'tetraederförmig, braun (Buchecker)','becherförmig grün/braun (Eichel)','Propeller mit Kern','Flügel mit einem Kern','Flügel mit zwei Kernen','abgeflachte Hülsen',zapfenhähnlich,Steinfrucht,Walnuss,kugelig,Haselnuss,'Nussfrucht, häutig geflügelt',Hülsenfrucht,'andere Früchte','keine Früchte zu erkennen'}
@attribute 'Habitus - Beginn der Beblätterung' {'eher mager','sehr dicht (normal)'}
@attribute 'Habitus - Habitusform' {'eher rundlich (normal)','eher pyramidenförmig',strauchartig}
@attribute 'Stamm - Stammfarbe' {grau-braun,braun,'dunkelbraun bis schwarz',weißlich,grau,grün,grau-grün}
@attribute 'Stamm - Stammoberfläche' {rau,schuppig,rissig,tiefrissig,glatt}
@attribute 'Höhe [m]' numeric
@attribute Baumgattung {Eiche,Buche,Ahorn,Linde,Kastanie,Esche,Birke,Robinie,Schlehe,Walnuss,Ginkgo,Erle,'gemeine Hasel',Weißdorn}

@data
gegenständig,7.791041,'gebuchtet (mittelgroße Einbuchtungen)',fächerförmig,gewellt,'gefiedert (von einem Blattstiel fingerförmig angeordnete Blätter)',Kätzchen,grün/braun,kugelig,'eher mager',strauchartig,braun,rissig,29.010272,Ginkgo
gegenständig,4.337954,ungeteilt,'rund oder eliptisch',gesägt,'ein Blatt pro Stiel','weiß/gelb, klein, nach dem Laubaustrieb',schwärzlich/blau,'andere Früchte','sehr dicht (normal)','eher rundlich (normal)','dunkelbraun bis schwarz',rau,2.535826,Schlehe
wechselständig,6.467822,'geteilt (tiefe Einschnitte)','andere Blattform',gelappt,'mehrere Blätter am Stiel','reinweiß, cremefarben in Doldenrispen',rot,kugelig,'sehr dicht (normal)',strauchartig,grün,rissig,4.753896,Weißdorn
wechselständig,5.516871,'gebuchtet (mittelgroße Einbuchtungen)','rund oder eliptisch',gesägt,'gefiedert (von einem Blattstiel fingerförmig angeordnete Blätter)','reinweiß, cremefarben in Doldenrispen',grün/braun,zapfenhähnlich,'sehr dicht (normal)','eher pyramidenförmig',grau-braun,rissig,35.601116,Erle
gegenständig,32.989138,ungeteilt,'rund oder eliptisch',gesägt,'mehrere Blätter am Stiel','hängende Trauben',grün/braun,'Flügel mit einem Kern','eher mager','eher rundlich (normal)',grau,rissig,39.441366,Esche
gegenständig,33.4525,ungeteilt,'rund oder eliptisch',gezackt,'mehrere Blätter am Stiel','gelb, vor oder mit dem Laubaustrieb',grün/braun,'Flügel mit einem Kern','sehr dicht (normal)','eher rundlich (normal)',grau,rissig,34.796385,Esche
gegenständig,36.512995,'geteilt (tiefe Einschnitte)','rund oder eliptisch',gesägt,'mehrere Blätter am Stiel','gelb, vor oder mit dem Laubaustrieb',grün/braun,'Flügel mit einem Kern','sehr dicht (normal)','eher pyramidenförmig',grau,rissig,33.929854,Esche
gegenständig,5.422706,'gebuchtet (mittelgroße Einbuchtungen)',dreieckig,gezackt,'ein Blatt pro Stiel','grün, vor oder mit dem Laubaustrieb',grün/braun,'Nussfrucht, häutig geflügelt','sehr dicht (normal)','eher rundlich (normal)',weißlich,schuppig,24.016866,Birke
wechselständig,4.235054,'gebuchtet (mittelgroße Einbuchtungen)','rund oder eliptisch',gesägt,'ein Blatt pro Stiel','reinweiß, cremefarben in Doldenrispen',schwärzlich/blau,'keine Früchte zu erkennen','eher mager','eher pyramidenförmig','dunkelbraun bis schwarz',rau,2.653693,Schlehe
gegenständig,15.730916,ungeteilt,'andere Blattform',gesägt,'gefiedert (von einem Blattstiel fingerförmig angeordnete Blätter)','weiß oder rot, kerzenförmig, nach dem Laubaustrieb',grün/braun,Kastanie,'sehr dicht (normal)','eher rundlich (normal)',grau-braun,rissig,23.287031,Kastanie
